"","Date","d2m","t2m","tp","RH"
"layer.619",2015-09-11,19.7667711737574,22.8911947351484,0.487976203784509,82.5718833998694
"layer.620",2015-09-12,18.0253077639451,19.5478460682571,0.134242781521234,90.9247985861344
"layer.621",2015-09-13,17.1463367736652,18.0983236206915,1.05096845769462,94.1747424157838
"layer.622",2015-09-14,17.1787448328325,18.813637806984,0.234334769636351,90.23275117833
"layer.623",2015-09-15,19.4127350906466,21.2600062618347,0.0837293575176303,89.219132473877
"layer.624",2015-09-16,20.3588100422937,25.1185468449045,0.0136975051592595,74.926802782715
"layer.625",2015-09-17,19.5534282857632,26.3746559345418,6.71446331336188e-05,66.1653282500571
"layer.626",2015-09-18,19.2661789164524,26.5575276784436,7.2309604913128e-05,64.2966729811614
"layer.627",2015-09-19,19.0287130115252,26.473922238637,0,63.6652798066395
"layer.628",2015-09-20,18.3886782466279,25.3105928241445,0.00023758870185742,65.5310209571779
"layer.629",2015-09-21,19.316310132977,25.3877318425675,0.000123959322708219,69.1218555971952
"layer.630",2015-09-22,18.7208181466906,25.3378124166565,1.03299435590183e-05,66.7994873848566
"layer.631",2015-09-23,19.2488401167246,25.6762218024029,0,67.6629439146114
"layer.632",2015-09-24,19.8246078456149,27.3906856585984,0,63.3863908172603
"layer.633",2015-09-25,20.2500002276757,29.5315897974814,0,57.464330328217
"layer.634",2015-09-26,20.0491215085217,26.0682688063559,0.00936925880803041,69.4768555754459
"layer.635",2015-09-27,20.2564549954843,25.4919085854009,0.000247918645416439,72.8191960525092
"layer.636",2015-09-28,19.1280420046172,26.4200488654842,0.000976179666327331,64.2646565290867
"layer.637",2015-09-29,20.7601587193133,24.9500561527258,0.0603217054128927,77.5790309063727
"layer.638",2015-09-30,20.7268477247625,25.1943588997727,0.0224211424948512,76.3011850559983
"layer.639",2015-10-01,20.8671687640792,25.4660092205881,0.0183666396479361,75.7294285132258
"layer.640",2015-10-02,20.6543993620718,25.1528256140937,0.00574861359059409,76.149592322718
"layer.641",2015-10-03,18.3367838657397,26.5430321171752,0,60.7213231122149
"layer.642",2015-10-04,20.8547656043866,25.3504017307878,0.0764777371391988,76.1934709783819
"layer.643",2015-10-05,18.638638824969,20.5388520887299,0.154386171461322,88.8684368657841
"layer.644",2015-10-06,15.7504596800309,21.1688970788807,0.0181032260871811,71.2156655458183
"layer.645",2015-10-07,16.4506311616476,22.5340866142341,0.000950354807429708,68.5136236113479
"layer.646",2015-10-08,16.7486425445825,24.0148769035321,0.00063529152887965,63.8497487427514
"layer.647",2015-10-09,17.4626997081768,25.2161830719426,0,62.1716237619203
"layer.648",2015-10-10,17.4440065053739,26.2908551549226,0,58.2650754673792
"layer.649",2015-10-11,19.3366749864222,27.3224447054337,0,61.7406515491267
"layer.650",2015-10-12,18.9020641221697,26.3043672812722,0.00029956836321153,63.7992662049993
"layer.651",2015-10-13,18.1617181169052,26.2784275013258,0.00344503617693293,61.0029575073292
"layer.652",2015-10-14,19.8131320249647,26.9535690447722,0,64.9866760221281
"layer.653",2015-10-15,19.5725912590021,28.3743563323141,0,58.9213517263695
"layer.654",2015-10-16,19.491979872372,30.2428153194199,0,52.6301488614692
"layer.655",2015-10-17,20.930380341834,26.6711413549839,0.00739623958825771,70.7937160513185
